bin_idx,x,marginal
0,0.0,3.9997917324273084e-33
1,0.01,6.574134105868052e-33
2,0.02,1.599571129860757e-32
3,0.03,9.268394411109221e-32
4,0.04,2.98212766127345e-30
5,0.05,1.3926073649826472e-27
6,0.06,1.4335805514342325e-23
7,0.07,1.14868555620995e-18
8,0.08,8.107097578796482e-14
9,0.09,1.0056911790394305e-09
10,0.1,1.4774336166740496e-06
11,0.11,0.00033636948281073024
12,0.12,0.017784137726243286
13,0.13,0.303940759896362
14,0.14,2.13510718213148
15,0.15,7.420647016721066
16,0.16,14.86698872674893
17,0.17,19.53239594990092
18,0.18,18.75119482857124
19,0.19,14.381713284980988
20,0.2,9.49908802794026
21,0.21,5.719308621230941
22,0.22,3.2594720719691295
23,0.23,1.8110196187259326
24,0.24,1.0048021624380024
25,0.25,0.5610038163420996
26,0.26,0.31460185911767763
27,0.27,0.1771373526340076
28,0.28,0.09992416391554881
29,0.29,0.05707585297471316
30,0.3,0.033505034191617676
31,0.31,0.02001377085264399
32,0.32,0.012043565901345721
33,0.33,0.007430515971620267
34,0.34,0.004754959783450022
35,0.35000000000000003,0.0030862003738926598
36,0.36,0.0019747005360996905
37,0.37,0.001239521991428677
38,0.38,0.000777306589410482
39,0.39,0.0004989320447249919
40,0.4,0.0003329906019385866
41,0.41000000000000003,0.00023122289049847382
42,0.42,0.00016444897756048485
43,0.43,0.0001172883167715258
44,0.44,8.272114889806205e-05
45,0.45,5.742380572499337e-05
46,0.46,3.9349444165648325e-05
47,0.47000000000000003,2.6816280907892852e-05
48,0.48,1.831130760498624e-05
49,0.49,1.2674172106672166e-05
50,0.5,9.146824860937902e-06
51,0.51,7.129091704443776e-06
52,0.52,5.9925153619203106e-06
53,0.53,5.176643548161575e-06
54,0.54,4.375145103317282e-06
55,0.55,3.5555364496096093e-06
56,0.56,2.8101151109812885e-06
57,0.5700000000000001,2.2048058662692425e-06
58,0.58,1.7338445773471446e-06
59,0.59,1.3572312070682487e-06
60,0.6,1.045517285729137e-06
61,0.61,7.919804612090374e-07
62,0.62,5.991135569417403e-07
63,0.63,4.632420714484224e-07
64,0.64,3.707178327414535e-07
65,0.65,3.0385424083798e-07
66,0.66,2.4870771091115367e-07
67,0.67,1.9882511132431673e-07
68,0.68,1.5429250323627927e-07
69,0.6900000000000001,1.1839144860038103e-07
70,0.7000000000000001,9.426176513670279e-08
71,0.71,8.281146415872003e-08
72,0.72,8.205167403527272e-08
73,0.73,8.768105865998925e-08
74,0.74,9.451246771298001e-08
75,0.75,9.812705371501993e-08
76,0.76,9.606183431980026e-08
77,0.77,8.812550222809045e-08
78,0.78,7.588274584171111e-08
79,0.79,6.172862055528756e-08
80,0.8,4.799891106275391e-08
81,0.81,3.640611529491849e-08
82,0.8200000000000001,2.783419347207294e-08
83,0.8300000000000001,2.2398060037082863e-08
84,0.84,1.9635412659328685e-08
85,0.85,1.874566220336167e-08
86,0.86,1.8824549451973244e-08
87,0.87,1.9064757135107957e-08
88,0.88,1.889281981921628e-08
89,0.89,1.8025335797973783e-08
90,0.9,1.644644339609939e-08
91,0.91,1.4329124126538198e-08
92,0.92,1.193698785861528e-08
93,0.93,9.536363466594434e-09
94,0.9400000000000001,7.3403513926612265e-09
95,0.9500000000000001,5.4856705105905e-09
96,0.96,4.036140610101401e-09
97,0.97,2.9993299597957568e-09
98,0.98,2.3456374907522153e-09
99,0.99,2.0234987666291724e-09
100,1.0,1.9686248343865177e-09
